epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4256.57,0.65018,0.54008,1.64328,0.97387,0.99251,0.99432,0.91051,0.50453,0.37575,1.40361,0.0011882,0.0011882,0.0011882
43,4595.62,0.64265,0.53429,1.64888,0.96314,0.95506,0.97386,0.89424,0.4738,0.37698,1.47712,0.0011684,0.0011684,0.0011684
44,4920.14,0.63896,0.52521,1.62545,0.98423,0.99625,0.99419,0.91886,0.46896,0.34559,1.378,0.0011486,0.0011486,0.0011486
45,5255.56,0.62975,0.51901,1.60979,0.98876,0.98847,0.99382,0.92154,0.46468,0.35426,1.3855,0.0011288,0.0011288,0.0011288
46,5595.19,0.60657,0.52104,1.59693,0.98177,0.98876,0.99376,0.92053,0.45047,0.34998,1.45426,0.001109,0.001109,0.001109
47,5941.15,0.60343,0.5054,1.56697,0.98747,0.96629,0.97944,0.89189,0.5092,0.35798,1.46996,0.0010892,0.0010892,0.0010892
48,6284.86,0.58899,0.4974,1.5847,0.9962,0.9807,0.99453,0.92689,0.43521,0.33932,1.3459,0.0010694,0.0010694,0.0010694
49,6634.25,0.60519,0.48786,1.59257,0.98888,0.99919,0.99466,0.92086,0.47396,0.33619,1.35311,0.0010496,0.0010496,0.0010496
50,6992.87,0.61538,0.52122,1.59971,0.98822,0.99251,0.99343,0.92045,0.46251,0.34851,1.40883,0.0010298,0.0010298,0.0010298
51,7342.41,0.6167,0.51322,1.60052,0.9816,0.99884,0.99392,0.92839,0.44697,0.3327,1.36302,0.00101,0.00101,0.00101
52,7694.03,0.59584,0.49936,1.58056,0.99022,0.98876,0.99447,0.93468,0.41326,0.33844,1.3454,0.0009902,0.0009902,0.0009902
53,8047.16,0.60323,0.5097,1.61278,0.98877,0.98945,0.99436,0.92819,0.43615,0.32969,1.39126,0.0009704,0.0009704,0.0009704
54,8398.42,0.57139,0.47391,1.55281,0.97349,0.97753,0.993,0.93263,0.41537,0.32879,1.31568,0.0009506,0.0009506,0.0009506
55,8751.23,0.57727,0.47898,1.55919,0.9887,1,0.99481,0.93892,0.41857,0.3146,1.33595,0.0009308,0.0009308,0.0009308
56,9107.56,0.57443,0.47969,1.58807,0.99556,0.99625,0.9947,0.93775,0.42356,0.31884,1.29974,0.000911,0.000911,0.000911
57,9475.24,0.60301,0.49824,1.60062,0.98847,0.99251,0.99408,0.92231,0.43919,0.32747,1.33883,0.0008912,0.0008912,0.0008912
58,9843.15,0.5772,0.48075,1.56186,0.99252,0.99436,0.99379,0.93514,0.42782,0.31953,1.29935,0.0008714,0.0008714,0.0008714
59,10241.8,0.57858,0.48381,1.60576,0.98755,0.98502,0.99378,0.93626,0.40122,0.3178,1.28294,0.0008516,0.0008516,0.0008516
60,10657.5,0.56902,0.48949,1.58291,0.99092,0.98127,0.98729,0.92242,0.42284,0.34213,1.31772,0.0008318,0.0008318,0.0008318
61,11066.9,0.5682,0.48252,1.55237,0.99958,1,0.995,0.94239,0.39185,0.28886,1.33707,0.000812,0.000812,0.000812
62,11491.3,0.55504,0.47377,1.54382,0.99256,0.99902,0.99496,0.93341,0.42033,0.31552,1.29263,0.0007922,0.0007922,0.0007922
63,11899.8,0.56568,0.47393,1.53717,0.99252,1,0.99496,0.94268,0.39892,0.30885,1.2951,0.0007724,0.0007724,0.0007724
64,12315.8,0.57097,0.47937,1.58817,0.98519,0.99639,0.9947,0.94772,0.40305,0.3076,1.28416,0.0007526,0.0007526,0.0007526
65,12718.5,0.55379,0.48562,1.55169,0.99891,0.99625,0.995,0.93509,0.41955,0.30558,1.29158,0.0007328,0.0007328,0.0007328
66,13112.5,0.54331,0.47643,1.55967,0.99486,0.99625,0.99496,0.94241,0.42637,0.30985,1.32369,0.000713,0.000713,0.000713
67,13524.8,0.53386,0.45855,1.51427,0.99787,0.99625,0.995,0.93689,0.41944,0.30296,1.28029,0.0006932,0.0006932,0.0006932
68,13951.6,0.52754,0.45354,1.51456,1,0.99612,0.995,0.94413,0.39182,0.28447,1.25843,0.0006734,0.0006734,0.0006734
69,14360.9,0.52931,0.45824,1.5221,0.99111,1,0.99493,0.95229,0.37606,0.28364,1.25102,0.0006536,0.0006536,0.0006536
70,14757.9,0.53954,0.45495,1.57653,0.99359,1,0.995,0.94899,0.38379,0.28889,1.24141,0.0006338,0.0006338,0.0006338
71,15163.8,0.51971,0.46308,1.51394,0.99212,0.99251,0.99384,0.95386,0.36199,0.28681,1.24256,0.000614,0.000614,0.000614
72,15585.4,0.52578,0.45787,1.53477,0.99438,0.99625,0.99496,0.95204,0.35696,0.28342,1.28479,0.0005942,0.0005942,0.0005942
73,15994.2,0.55531,0.52135,1.56651,0.98868,1,0.99381,0.95015,0.36724,0.28973,1.23802,0.0005744,0.0005744,0.0005744
74,16396.6,0.50663,0.43501,1.50573,0.99225,0.99625,0.9947,0.96393,0.34638,0.27412,1.25883,0.0005546,0.0005546,0.0005546
75,16812.4,0.50832,0.43174,1.53203,0.9835,0.99251,0.99447,0.95424,0.36829,0.28018,1.2195,0.0005348,0.0005348,0.0005348
76,17235.1,0.52168,0.46225,1.52416,0.99176,0.99625,0.99477,0.95416,0.36561,0.28235,1.2762,0.000515,0.000515,0.000515
77,17656,0.51259,0.44173,1.51503,0.99933,0.99625,0.995,0.95956,0.34575,0.26666,1.2126,0.0004952,0.0004952,0.0004952
78,18066.6,0.49581,0.43648,1.50001,0.99562,0.99625,0.99478,0.9546,0.36486,0.27182,1.19581,0.0004754,0.0004754,0.0004754
79,18492.7,0.50075,0.43822,1.52061,0.99526,0.99625,0.99463,0.95795,0.34977,0.26814,1.21525,0.0004556,0.0004556,0.0004556
80,18908.1,0.48825,0.43368,1.50947,0.99231,0.99251,0.99421,0.95533,0.35826,0.26935,1.2103,0.0004358,0.0004358,0.0004358
81,287.153,0.50075,0.44188,1.53982,0.99146,1,0.99481,0.96361,0.33434,0.26646,1.20034,0.000416,0.000416,0.000416
82,547.514,0.49053,0.44329,1.51258,0.99256,0.99891,0.995,0.96006,0.34754,0.27421,1.15892,0.0003962,0.0003962,0.0003962
83,807.677,0.47531,0.41196,1.48544,0.99776,1,0.995,0.96263,0.34463,0.2587,1.19194,0.0003764,0.0003764,0.0003764
84,1070.12,0.46635,0.42178,1.50229,0.9988,1,0.995,0.96405,0.33826,0.2701,1.19158,0.0003566,0.0003566,0.0003566
85,1342.99,0.47238,0.42289,1.4954,0.99925,1,0.995,0.95937,0.33489,0.2651,1.17908,0.0003368,0.0003368,0.0003368
86,1620.24,0.45308,0.40641,1.4399,0.99923,1,0.995,0.96342,0.32358,0.25611,1.1946,0.000317,0.000317,0.000317
87,1899.38,0.45451,0.3947,1.44975,0.99968,0.99625,0.995,0.96444,0.32324,0.26601,1.18839,0.0002972,0.0002972,0.0002972
88,2181.48,0.47154,0.41603,1.50587,0.99924,1,0.995,0.95964,0.33818,0.25635,1.19898,0.0002774,0.0002774,0.0002774
89,2463.06,0.44937,0.39802,1.44986,0.99584,1,0.995,0.96566,0.32268,0.25264,1.19846,0.0002576,0.0002576,0.0002576
90,2746.69,0.4459,0.39933,1.4554,0.99595,0.99625,0.99436,0.96053,0.32145,0.2553,1.20426,0.0002378,0.0002378,0.0002378
91,3031.89,0.31718,0.26871,1.20039,0.99938,1,0.995,0.96448,0.31993,0.25108,1.19709,0.000218,0.000218,0.000218
92,3312.88,0.31381,0.25936,1.22599,0.99855,1,0.995,0.96076,0.32969,0.24471,1.17625,0.0001982,0.0001982,0.0001982
93,3592.07,0.31305,0.25661,1.18327,0.99923,1,0.995,0.96208,0.32,0.24672,1.20418,0.0001784,0.0001784,0.0001784
94,3882.53,0.30865,0.25452,1.20132,0.99569,1,0.995,0.96712,0.31033,0.24657,1.17459,0.0001586,0.0001586,0.0001586
95,4190.35,0.30027,0.25033,1.19543,0.99195,0.97378,0.98302,0.9557,0.34317,0.29789,1.22264,0.0001388,0.0001388,0.0001388
96,4501.98,0.28739,0.24071,1.17199,0.99955,1,0.995,0.96676,0.31179,0.23891,1.17528,0.000119,0.000119,0.000119
97,4816.4,0.29587,0.24462,1.18304,0.9995,1,0.995,0.96925,0.30373,0.238,1.16963,9.92e-05,9.92e-05,9.92e-05
98,5129.9,0.29356,0.24466,1.16677,0.99951,1,0.995,0.96991,0.30263,0.23723,1.16164,7.94e-05,7.94e-05,7.94e-05
99,5442.6,0.27658,0.23236,1.13123,0.99956,1,0.995,0.9704,0.30026,0.23382,1.16834,5.96e-05,5.96e-05,5.96e-05
100,5757.85,0.28143,0.2355,1.14517,0.99946,1,0.995,0.97019,0.30012,0.23287,1.1719,3.98e-05,3.98e-05,3.98e-05
