epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7220.33,0.43495,0.53988,0.40322,0.92718,0.95823,0.39207,0.40936,0.39059,0.95823,0.39207,0.40936,0.39368,0.32097,0.36568,0.33942,0.85133,0.0014258,0.0014258,0.0014258
31,7620.27,0.41696,0.49696,0.37789,0.90871,0.93267,0.34583,0.37212,0.35226,0.93267,0.34583,0.37072,0.35308,0.67445,1.10732,0.87531,2.31686,0.001406,0.001406,0.001406
32,395.409,0.47858,0.66582,0.72558,1.14617,0.89491,0.38765,0.41733,0.39299,0.89491,0.38765,0.41733,0.40175,0.34707,0.37751,0.5171,0.857,0.0013862,0.0013862,0.0013862
33,755.147,0.42875,0.48599,0.36985,0.9326,0.93312,0.38924,0.42394,0.40655,0.94982,0.38909,0.42408,0.40951,0.31475,0.35185,0.35015,0.84881,0.0013664,0.0013664,0.0013664
34,1148.69,0.39886,0.4672,0.3655,0.9291,0.95867,0.39354,0.41566,0.39876,0.95867,0.39354,0.4157,0.40254,0.28642,0.3687,0.27293,0.82406,0.0013466,0.0013466,0.0013466
35,1530.01,0.42126,0.49816,0.38555,0.95433,0.94878,0.39354,0.4235,0.40292,0.96119,0.39207,0.42357,0.40723,0.31874,0.39947,0.29194,0.85966,0.0013268,0.0013268,0.0013268
36,1914.78,0.41108,0.46367,0.37268,0.90936,0.96751,0.38767,0.41607,0.39746,0.97118,0.38913,0.41674,0.40442,0.30128,0.34203,0.2926,0.84243,0.001307,0.001307,0.001307
37,2286.94,0.40818,0.46144,0.34695,0.91635,0.95035,0.39207,0.43061,0.41731,0.95035,0.39207,0.43084,0.4174,0.27024,0.31196,0.25943,0.83153,0.0012872,0.0012872,0.0012872
38,2656.34,0.39013,0.45475,0.35105,0.90135,0.96945,0.3906,0.42067,0.40211,0.94051,0.39468,0.42067,0.40693,0.28725,0.33273,0.26908,0.85071,0.0012674,0.0012674,0.0012674
39,3022.79,0.38796,0.43784,0.33686,0.89949,0.94254,0.39354,0.4164,0.40038,0.94254,0.39354,0.4164,0.40454,0.28248,0.32161,0.29151,0.83163,0.0012476,0.0012476,0.0012476
40,3417.76,0.36954,0.4184,0.31973,0.88475,0.92668,0.38973,0.42235,0.40843,0.92319,0.38827,0.42218,0.40823,0.27061,0.29267,0.28622,0.82028,0.0012278,0.0012278,0.0012278
41,3803.92,0.37273,0.42259,0.32492,0.89491,0.9634,0.39207,0.42983,0.41297,0.9634,0.39207,0.42983,0.41499,0.27129,0.31659,0.25419,0.8253,0.001208,0.001208,0.001208
42,4190.89,0.37053,0.4453,0.33271,0.89407,0.96273,0.39501,0.44025,0.4238,0.96273,0.39501,0.44029,0.42662,0.27545,0.31144,0.25342,0.84034,0.0011882,0.0011882,0.0011882
43,4579.17,0.37369,0.44025,0.3295,0.89641,0.98734,0.38913,0.44502,0.4289,0.98734,0.38913,0.44502,0.43282,0.26182,0.28332,0.23852,0.8351,0.0011684,0.0011684,0.0011684
44,4964.74,0.36441,0.42154,0.32417,0.9026,0.99629,0.39482,0.45538,0.44628,0.99629,0.39482,0.45538,0.44657,0.24823,0.26408,0.21922,0.80887,0.0011486,0.0011486,0.0011486
45,5344.44,0.37175,0.43582,0.31534,0.90882,0.99279,0.39354,0.44011,0.42586,0.99279,0.39354,0.44011,0.42801,0.28891,0.28511,0.232,0.83067,0.0011288,0.0011288,0.0011288
46,5724.28,0.3624,0.42952,0.32251,0.90199,0.96822,0.39501,0.42939,0.41538,0.9719,0.39648,0.42943,0.41631,0.2738,0.30868,0.24343,0.83214,0.001109,0.001109,0.001109
47,6111.45,0.34822,0.4062,0.30234,0.89125,0.95302,0.39354,0.4298,0.41558,0.95302,0.39354,0.4298,0.41267,0.25409,0.36839,0.26432,0.82493,0.0010892,0.0010892,0.0010892
48,6486.36,0.35023,0.40985,0.30344,0.8908,0.9807,0.39648,0.44063,0.43124,0.98176,0.39514,0.44063,0.42923,0.22993,0.30584,0.21275,0.81621,0.0010694,0.0010694,0.0010694
49,6879.79,0.34931,0.42847,0.32071,0.89869,0.97224,0.39648,0.41898,0.40703,0.97224,0.39648,0.41898,0.40898,0.2592,0.26641,0.23394,0.82563,0.0010496,0.0010496,0.0010496
50,386.733,0.31045,0.41155,0.2872,0.90876,0.94707,0.39414,0.44011,0.42747,0.94707,0.39414,0.44011,0.42839,0.25201,0.35329,0.24211,0.84777,0.0010298,0.0010298,0.0010298
51,736.2,0.32766,0.39126,0.26301,0.91473,0.98011,0.39207,0.44579,0.43399,0.98011,0.39207,0.44579,0.43333,0.24086,0.29129,0.21831,0.82601,0.00101,0.00101,0.00101
52,1098.04,0.3094,0.391,0.27017,0.89902,0.97702,0.38913,0.44257,0.42557,0.97702,0.38913,0.44228,0.42889,0.26991,0.33974,0.22791,0.84628,0.0009902,0.0009902,0.0009902
53,1464.72,0.3376,0.43041,0.27943,0.93569,0.97612,0.39207,0.45066,0.43286,0.97978,0.39354,0.451,0.43731,0.2619,0.31369,0.22614,0.83334,0.0009704,0.0009704,0.0009704
54,1832.2,0.31924,0.38351,0.26877,0.89551,0.95326,0.39354,0.44264,0.43073,0.95326,0.39354,0.44275,0.42913,0.23991,0.32884,0.20889,0.82153,0.0009506,0.0009506,0.0009506
55,2206.61,0.3141,0.39456,0.26072,0.88335,0.97989,0.39354,0.43292,0.42079,0.97989,0.39354,0.43292,0.42215,0.23813,0.31268,0.22552,0.82776,0.0009308,0.0009308,0.0009308
56,2581.24,0.31818,0.3851,0.27314,0.88785,0.97788,0.39354,0.42728,0.41839,0.97788,0.39354,0.42728,0.41806,0.2271,0.286,0.21296,0.81994,0.000911,0.000911,0.000911
57,2942.48,0.32,0.36131,0.27153,0.88511,0.98752,0.39207,0.43807,0.42608,0.98752,0.39207,0.43807,0.42817,0.22815,0.27845,0.20295,0.81447,0.0008912,0.0008912,0.0008912
